"","L201.Pop_gSSP2.region","L201.Pop_gSSP2.year","L201.Pop_gSSP2.totalPop"
"1","USA",1975,222013
"2","USA",1990,255627
"3","USA",2005,298733
"4","USA",2010,312697
"5","USA",2015,324365
"6","Africa_Eastern",1975,91890
"7","Africa_Eastern",1990,145593
"8","Africa_Eastern",2005,222829
"9","Africa_Eastern",2010,255333
"10","Africa_Eastern",2015,292560
"11","Africa_Northern",1975,81330
"12","Africa_Northern",1990,119597
"13","Africa_Northern",2005,155472
"14","Africa_Northern",2010,168395
"15","Africa_Northern",2015,184959
"16","Africa_Southern",1975,53046
"17","Africa_Southern",1990,83159
"18","Africa_Southern",2005,121701
"19","Africa_Southern",2010,139244
"20","Africa_Southern",2015,160447
"21","Africa_Western",1975,159160
"22","Africa_Western",1990,239535
"23","Africa_Western",2005,360464
"24","Africa_Western",2010,415301
"25","Africa_Western",2015,478031
"26","Australia_NZ",1975,16856
"27","Australia_NZ",1990,20359
"28","Australia_NZ",2005,24314
"29","Australia_NZ",2010,26525
"30","Australia_NZ",2015,28547
"31","Brazil",1975,107216
"32","Brazil",1990,149003
"33","Brazil",2005,186127
"34","Brazil",2010,195714
"35","Brazil",2015,204472
"36","Canada",1975,23059
"37","Canada",1990,27541
"38","Canada",2005,32164
"39","Canada",2010,34148
"40","Canada",2015,36027
"41","Central America and Caribbean",1975,45127
"42","Central America and Caribbean",1990,59989
"43","Central America and Caribbean",2005,75932
"44","Central America and Caribbean",2010,80984
"45","Central America and Caribbean",2015,86156
"46","Central Asia",1975,51975
"47","Central Asia",1990,68498
"48","Central Asia",2005,76706
"49","Central Asia",2010,81534
"50","Central Asia",2015,88051
"51","China",1975,930691
"52","China",1990,1182955
"53","China",2005,1338029
"54","China",2010,1376315
"55","China",2015,1414636
"56","EU-12",1975,99629
"57","EU-12",1990,107358
"58","EU-12",2005,103595
"59","EU-12",2010,102240
"60","EU-12",2015,100885
"61","EU-15",1975,350014
"62","EU-15",1990,365030
"63","EU-15",2005,387123
"64","EU-15",2010,396932
"65","EU-15",2015,404066
"66","Europe_Eastern",1975,61848
"67","Europe_Eastern",1990,65980
"68","Europe_Eastern",2005,60612
"69","Europe_Eastern",2010,59299
"70","Europe_Eastern",2015,58432
"71","Europe_Non_EU",1975,61029
"72","Europe_Non_EU",1990,78577
"73","Europe_Non_EU",2005,91004
"74","Europe_Non_EU",2010,94995
"75","Europe_Non_EU",2015,100665
"76","European Free Trade Association",1975,10587
"77","European Free Trade Association",1990,11184
"78","European Free Trade Association",2005,12349
"79","European Free Trade Association",2010,13051
"80","European Free Trade Association",2015,13864
"81","India",1975,623103
"82","India",1990,873278
"83","India",2005,1147610
"84","India",2010,1234281
"85","India",2015,1310152
"86","Indonesia",1975,130681
"87","Indonesia",1990,181413
"88","Indonesia",2005,226289
"89","Indonesia",2010,241834
"90","Indonesia",2015,258383
"91","Japan",1975,112413
"92","Japan",1990,124505
"93","Japan",2005,128326
"94","Japan",2010,128542
"95","Japan",2015,127985
"96","Mexico",1975,59608
"97","Mexico",1990,83943
"98","Mexico",2005,106005
"99","Mexico",2010,114093
"100","Mexico",2015,121858
"101","Middle East",1975,78298
"102","Middle East",1990,133782
"103","Middle East",2005,190643
"104","Middle East",2010,216724
"105","Middle East",2015,240169
"106","Pakistan",1975,66817
"107","Pakistan",1990,107648
"108","Pakistan",2005,160304
"109","Pakistan",2010,179425
"110","Pakistan",2015,199427
"111","Russia",1975,133805
"112","Russia",1990,147532
"113","Russia",2005,143672
"114","Russia",2010,143479
"115","Russia",2015,144985
"116","South Africa",1975,25195
"117","South Africa",1990,36801
"118","South Africa",2005,47881
"119","South Africa",2010,51217
"120","South Africa",2015,55386
"121","South America_Northern",1975,14351
"122","South America_Northern",1990,20897
"123","South America_Northern",2005,27881
"124","South America_Northern",2010,29952
"125","South America_Northern",2015,31669
"126","South America_Southern",1975,43634
"127","South America_Southern",1990,59775
"128","South America_Southern",2005,76253
"129","South America_Southern",2010,80757
"130","South America_Southern",2015,85623
"131","South Asia",1975,110416
"132","South Asia",1990,152569
"133","South Asia",2005,210948
"134","South Asia",2010,225087
"135","South Asia",2015,239776
"136","South Korea",1975,35379
"137","South Korea",1990,42918
"138","South Korea",2005,48701
"139","South Korea",2010,49546
"140","South Korea",2015,50823
"141","Southeast Asia",1975,209955
"142","Southeast Asia",1990,290435
"143","Southeast Asia",2005,368399
"144","Southeast Asia",2010,390297
"145","Southeast Asia",2015,412741
"146","Taiwan",1975,16465
"147","Taiwan",1990,20479
"148","Taiwan",2005,22706
"149","Taiwan",2010,23188
"150","Taiwan",2015,23557
"151","Argentina",1975,25866
"152","Argentina",1990,32619
"153","Argentina",2005,38893
"154","Argentina",2010,40896
"155","Argentina",2015,43075
"156","Colombia",1975,24066
"157","Colombia",1990,33103
"158","Colombia",2005,42648
"159","Colombia",2010,45223
"160","Colombia",2015,47521
"161","USA",2020,337150
"162","USA",2025,349942
"163","USA",2030,362126
"164","USA",2035,373482
"165","USA",2040,383986
"166","USA",2045,393596
"167","USA",2050,402689
"168","USA",2055,411756
"169","USA",2060,420930
"170","USA",2065,429574
"171","USA",2070,437286
"172","USA",2075,443787
"173","USA",2080,448905
"174","USA",2085,452695
"175","USA",2090,455351
"176","USA",2095,456992
"177","USA",2100,457531
"178","Africa_Eastern",2020,327652
"179","Africa_Eastern",2025,363312
"180","Africa_Eastern",2030,398928
"181","Africa_Eastern",2035,433912
"182","Africa_Eastern",2040,467666
"183","Africa_Eastern",2045,499664
"184","Africa_Eastern",2050,529402
"185","Africa_Eastern",2055,556634
"186","Africa_Eastern",2060,581206
"187","Africa_Eastern",2065,603136
"188","Africa_Eastern",2070,622472
"189","Africa_Eastern",2075,639201
"190","Africa_Eastern",2080,653078
"191","Africa_Eastern",2085,664120
"192","Africa_Eastern",2090,672314
"193","Africa_Eastern",2095,678024
"194","Africa_Eastern",2100,681323
"195","Africa_Northern",2020,196801
"196","Africa_Northern",2025,207480
"197","Africa_Northern",2030,216852
"198","Africa_Northern",2035,225136
"199","Africa_Northern",2040,232477
"200","Africa_Northern",2045,238781
"201","Africa_Northern",2050,243731
"202","Africa_Northern",2055,247357
"203","Africa_Northern",2060,249677
"204","Africa_Northern",2065,250848
"205","Africa_Northern",2070,250893
"206","Africa_Northern",2075,249970
"207","Africa_Northern",2080,248377
"208","Africa_Northern",2085,246266
"209","Africa_Northern",2090,243811
"210","Africa_Northern",2095,240965
"211","Africa_Northern",2100,237829
"212","Africa_Southern",2020,179810
"213","Africa_Southern",2025,199719
"214","Africa_Southern",2030,219910
"215","Africa_Southern",2035,240067
"216","Africa_Southern",2040,260006
"217","Africa_Southern",2045,279087
"218","Africa_Southern",2050,297214
"219","Africa_Southern",2055,313929
"220","Africa_Southern",2060,329226
"221","Africa_Southern",2065,343254
"222","Africa_Southern",2070,355958
"223","Africa_Southern",2075,367099
"224","Africa_Southern",2080,376885
"225","Africa_Southern",2085,385319
"226","Africa_Southern",2090,392092
"227","Africa_Southern",2095,397271
"228","Africa_Southern",2100,400909
"229","Africa_Western",2020,537465
"230","Africa_Western",2025,599748
"231","Africa_Western",2030,664116
"232","Africa_Western",2035,729808
"233","Africa_Western",2040,795629
"234","Africa_Western",2045,860599
"235","Africa_Western",2050,924076
"236","Africa_Western",2055,982617
"237","Africa_Western",2060,1036428
"238","Africa_Western",2065,1086774
"239","Africa_Western",2070,1133098
"240","Africa_Western",2075,1174799
"241","Africa_Western",2080,1211622
"242","Africa_Western",2085,1243151
"243","Africa_Western",2090,1269546
"244","Africa_Western",2095,1291417
"245","Africa_Western",2100,1309175
"246","Australia_NZ",2020,30619
"247","Australia_NZ",2025,32663
"248","Australia_NZ",2030,34591
"249","Australia_NZ",2035,36424
"250","Australia_NZ",2040,38212
"251","Australia_NZ",2045,39967
"252","Australia_NZ",2050,41667
"253","Australia_NZ",2055,43281
"254","Australia_NZ",2060,44784
"255","Australia_NZ",2065,46069
"256","Australia_NZ",2070,47145
"257","Australia_NZ",2075,48016
"258","Australia_NZ",2080,48667
"259","Australia_NZ",2085,49082
"260","Australia_NZ",2090,49233
"261","Australia_NZ",2095,49103
"262","Australia_NZ",2100,48725
"263","Brazil",2020,212114
"264","Brazil",2025,218835
"265","Brazil",2030,224269
"266","Brazil",2035,228418
"267","Brazil",2040,231336
"268","Brazil",2045,233038
"269","Brazil",2050,233377
"270","Brazil",2055,232304
"271","Brazil",2060,230153
"272","Brazil",2065,227015
"273","Brazil",2070,223022
"274","Brazil",2075,218264
"275","Brazil",2080,212960
"276","Brazil",2085,207279
"277","Brazil",2090,201425
"278","Brazil",2095,195525
"279","Brazil",2100,189641
"280","Canada",2020,37942
"281","Canada",2025,39827
"282","Canada",2030,41578
"283","Canada",2035,43194
"284","Canada",2040,44749
"285","Canada",2045,46285
"286","Canada",2050,47808
"287","Canada",2055,49283
"288","Canada",2060,50702
"289","Canada",2065,51943
"290","Canada",2070,53010
"291","Canada",2075,53899
"292","Canada",2080,54577
"293","Canada",2085,55014
"294","Canada",2090,55203
"295","Canada",2095,55088
"296","Canada",2100,54679
"297","Central America and Caribbean",2020,90410
"298","Central America and Caribbean",2025,94236
"299","Central America and Caribbean",2030,97597
"300","Central America and Caribbean",2035,100446
"301","Central America and Caribbean",2040,102754
"302","Central America and Caribbean",2045,104535
"303","Central America and Caribbean",2050,105763
"304","Central America and Caribbean",2055,106465
"305","Central America and Caribbean",2060,106650
"306","Central America and Caribbean",2065,106558
"307","Central America and Caribbean",2070,106227
"308","Central America and Caribbean",2075,105638
"309","Central America and Caribbean",2080,104841
"310","Central America and Caribbean",2085,103819
"311","Central America and Caribbean",2090,102640
"312","Central America and Caribbean",2095,101344
"313","Central America and Caribbean",2100,99983
"314","Central Asia",2020,91528
"315","Central Asia",2025,94287
"316","Central Asia",2030,96353
"317","Central Asia",2035,97911
"318","Central Asia",2040,99103
"319","Central Asia",2045,99832
"320","Central Asia",2050,99981
"321","Central Asia",2055,99590
"322","Central Asia",2060,98781
"323","Central Asia",2065,97769
"324","Central Asia",2070,96551
"325","Central Asia",2075,95122
"326","Central Asia",2080,93500
"327","Central Asia",2085,91781
"328","Central Asia",2090,90071
"329","Central Asia",2095,88412
"330","Central Asia",2100,86771
"331","China",2020,1431256
"332","China",2025,1437681
"333","China",2030,1433379
"334","China",2035,1417835
"335","China",2040,1391617
"336","China",2045,1356311
"337","China",2050,1313216
"338","China",2055,1264144
"339","China",2060,1211040
"340","China",2065,1156065
"341","China",2070,1101079
"342","China",2075,1046473
"343","China",2080,992245
"344","China",2085,939257
"345","China",2090,889160
"346","China",2095,842988
"347","China",2100,800756
"348","EU-12",2020,100489
"349","EU-12",2025,99871
"350","EU-12",2030,98929
"351","EU-12",2035,97638
"352","EU-12",2040,96191
"353","EU-12",2045,94712
"354","EU-12",2050,93190
"355","EU-12",2055,91540
"356","EU-12",2060,89687
"357","EU-12",2065,87507
"358","EU-12",2070,85081
"359","EU-12",2075,82569
"360","EU-12",2080,80124
"361","EU-12",2085,77829
"362","EU-12",2090,75700
"363","EU-12",2095,73704
"364","EU-12",2100,71775
"365","EU-15",2020,410786
"366","EU-15",2025,417109
"367","EU-15",2030,422887
"368","EU-15",2035,428181
"369","EU-15",2040,433036
"370","EU-15",2045,437256
"371","EU-15",2050,440600
"372","EU-15",2055,442992
"373","EU-15",2060,444653
"374","EU-15",2065,445271
"375","EU-15",2070,445263
"376","EU-15",2075,444778
"377","EU-15",2080,443719
"378","EU-15",2085,441988
"379","EU-15",2090,439290
"380","EU-15",2095,435605
"381","EU-15",2100,430661
"382","Europe_Eastern",2020,56851
"383","Europe_Eastern",2025,55458
"384","Europe_Eastern",2030,54198
"385","Europe_Eastern",2035,53087
"386","Europe_Eastern",2040,52133
"387","Europe_Eastern",2045,51262
"388","Europe_Eastern",2050,50429
"389","Europe_Eastern",2055,49635
"390","Europe_Eastern",2060,48892
"391","Europe_Eastern",2065,48066
"392","Europe_Eastern",2070,47179
"393","Europe_Eastern",2075,46230
"394","Europe_Eastern",2080,45227
"395","Europe_Eastern",2085,44191
"396","Europe_Eastern",2090,43146
"397","Europe_Eastern",2095,42092
"398","Europe_Eastern",2100,41002
"399","Europe_Non_EU",2020,104683
"400","Europe_Non_EU",2025,108334
"401","Europe_Non_EU",2030,111526
"402","Europe_Non_EU",2035,114226
"403","Europe_Non_EU",2040,116432
"404","Europe_Non_EU",2045,118121
"405","Europe_Non_EU",2050,119289
"406","Europe_Non_EU",2055,119897
"407","Europe_Non_EU",2060,120004
"408","Europe_Non_EU",2065,119658
"409","Europe_Non_EU",2070,118869
"410","Europe_Non_EU",2075,117659
"411","Europe_Non_EU",2080,116090
"412","Europe_Non_EU",2085,114257
"413","Europe_Non_EU",2090,112312
"414","Europe_Non_EU",2095,110280
"415","Europe_Non_EU",2100,108150
"416","European Free Trade Association",2020,14375
"417","European Free Trade Association",2025,14911
"418","European Free Trade Association",2030,15440
"419","European Free Trade Association",2035,15937
"420","European Free Trade Association",2040,16401
"421","European Free Trade Association",2045,16844
"422","European Free Trade Association",2050,17270
"423","European Free Trade Association",2055,17673
"424","European Free Trade Association",2060,18044
"425","European Free Trade Association",2065,18347
"426","European Free Trade Association",2070,18591
"427","European Free Trade Association",2075,18786
"428","European Free Trade Association",2080,18932
"429","European Free Trade Association",2085,19026
"430","European Free Trade Association",2090,19045
"431","European Free Trade Association",2095,18986
"432","European Free Trade Association",2100,18847
"433","India",2020,1390445
"434","India",2025,1464252
"435","India",2030,1531189
"436","India",2035,1593137
"437","India",2040,1648678
"438","India",2045,1697448
"439","India",2050,1736738
"440","India",2055,1765632
"441","India",2060,1782314
"442","India",2065,1787852
"443","India",2070,1784275
"444","India",2075,1771807
"445","India",2080,1750763
"446","India",2085,1721856
"447","India",2090,1687292
"448","India",2095,1647716
"449","India",2100,1605656
"450","Indonesia",2020,268979
"451","Indonesia",2025,277911
"452","Indonesia",2030,285073
"453","Indonesia",2035,290581
"454","Indonesia",2040,294272
"455","Indonesia",2045,295961
"456","Indonesia",2050,295514
"457","Indonesia",2055,293448
"458","Indonesia",2060,289848
"459","Indonesia",2065,284947
"460","Indonesia",2070,279001
"461","Indonesia",2075,272274
"462","Indonesia",2080,265011
"463","Indonesia",2085,257412
"464","Indonesia",2090,249617
"465","Indonesia",2095,241732
"466","Indonesia",2100,233841
"467","Japan",2020,126674
"468","Japan",2025,124682
"469","Japan",2030,122205
"470","Japan",2035,119425
"471","Japan",2040,116466
"472","Japan",2045,113374
"473","Japan",2050,110228
"474","Japan",2055,107097
"475","Japan",2060,103942
"476","Japan",2065,100573
"477","Japan",2070,97045
"478","Japan",2075,93496
"479","Japan",2080,90013
"480","Japan",2085,86442
"481","Japan",2090,82905
"482","Japan",2095,79443
"483","Japan",2100,76059
"484","Mexico",2020,128166
"485","Mexico",2025,133883
"486","Mexico",2030,138897
"487","Mexico",2035,143123
"488","Mexico",2040,146566
"489","Mexico",2045,149207
"490","Mexico",2050,151057
"491","Mexico",2055,152126
"492","Mexico",2060,152391
"493","Mexico",2065,152312
"494","Mexico",2070,152038
"495","Mexico",2075,151541
"496","Mexico",2080,150753
"497","Mexico",2085,149656
"498","Mexico",2090,148293
"499","Mexico",2095,146831
"500","Mexico",2100,145314
"501","Middle East",2020,263175
"502","Middle East",2025,285215
"503","Middle East",2030,306215
"504","Middle East",2035,326372
"505","Middle East",2040,345587
"506","Middle East",2045,363165
"507","Middle East",2050,378689
"508","Middle East",2055,391982
"509","Middle East",2060,402949
"510","Middle East",2065,411673
"511","Middle East",2070,418270
"512","Middle East",2075,422733
"513","Middle East",2080,425282
"514","Middle East",2085,426217
"515","Middle East",2090,425855
"516","Middle East",2095,424503
"517","Middle East",2100,422123
"518","Pakistan",2020,217611
"519","Pakistan",2025,235246
"520","Pakistan",2030,251556
"521","Pakistan",2035,266794
"522","Pakistan",2040,281252
"523","Pakistan",2045,294811
"524","Pakistan",2050,307069
"525","Pakistan",2055,317275
"526","Pakistan",2060,325405
"527","Pakistan",2065,331845
"528","Pakistan",2070,336791
"529","Pakistan",2075,340620
"530","Pakistan",2080,343182
"531","Pakistan",2085,344732
"532","Pakistan",2090,344939
"533","Pakistan",2095,344183
"534","Pakistan",2100,342540
"535","Russia",2020,144271
"536","Russia",2025,143195
"537","Russia",2030,141897
"538","Russia",2035,140735
"539","Russia",2040,140027
"540","Russia",2045,139464
"541","Russia",2050,138932
"542","Russia",2055,138295
"543","Russia",2060,137620
"544","Russia",2065,136685
"545","Russia",2070,135592
"546","Russia",2075,134301
"547","Russia",2080,132755
"548","Russia",2085,130973
"549","Russia",2090,129027
"550","Russia",2095,126931
"551","Russia",2100,124611
"552","South Africa",2020,57817
"553","South Africa",2025,59978
"554","South Africa",2030,61814
"555","South Africa",2035,63336
"556","South Africa",2040,64630
"557","South Africa",2045,65681
"558","South Africa",2050,66519
"559","South Africa",2055,67138
"560","South Africa",2060,67571
"561","South Africa",2065,67720
"562","South Africa",2070,67556
"563","South Africa",2075,67095
"564","South Africa",2080,66349
"565","South Africa",2085,65437
"566","South Africa",2090,64361
"567","South Africa",2095,63119
"568","South Africa",2100,61707
"569","South America_Northern",2020,33700
"570","South America_Northern",2025,35594
"571","South America_Northern",2030,37332
"572","South America_Northern",2035,38852
"573","South America_Northern",2040,40151
"574","South America_Northern",2045,41230
"575","South America_Northern",2050,42082
"576","South America_Northern",2055,42720
"577","South America_Northern",2060,43150
"578","South America_Northern",2065,43365
"579","South America_Northern",2070,43360
"580","South America_Northern",2075,43147
"581","South America_Northern",2080,42778
"582","South America_Northern",2085,42267
"583","South America_Northern",2090,41631
"584","South America_Northern",2095,40891
"585","South America_Northern",2100,40070
"586","South America_Southern",2020,89585
"587","South America_Southern",2025,93150
"588","South America_Southern",2030,96224
"589","South America_Southern",2035,98742
"590","South America_Southern",2040,100722
"591","South America_Southern",2045,102136
"592","South America_Southern",2050,102982
"593","South America_Southern",2055,103289
"594","South America_Southern",2060,103109
"595","South America_Southern",2065,102643
"596","South America_Southern",2070,101937
"597","South America_Southern",2075,100995
"598","South America_Southern",2080,99817
"599","South America_Southern",2085,98433
"600","South America_Southern",2090,96900
"601","South America_Southern",2095,95294
"602","South America_Southern",2100,93650
"603","South Asia",2020,256461
"604","South Asia",2025,272593
"605","South Asia",2030,287632
"606","South Asia",2035,301395
"607","South Asia",2040,313720
"608","South Asia",2045,324320
"609","South Asia",2050,333066
"610","South Asia",2055,339924
"611","South Asia",2060,344844
"612","South Asia",2065,348159
"613","South Asia",2070,350061
"614","South Asia",2075,350761
"615","South Asia",2080,350355
"616","South Asia",2085,348946
"617","South Asia",2090,346676
"618","South Asia",2095,343742
"619","South Asia",2100,340319
"620","South Korea",2020,51313
"621","South Korea",2025,51586
"622","South Korea",2030,51607
"623","South Korea",2035,51276
"624","South Korea",2040,50536
"625","South Korea",2045,49424
"626","South Korea",2050,47994
"627","South Korea",2055,46346
"628","South Korea",2060,44588
"629","South Korea",2065,42769
"630","South Korea",2070,40936
"631","South Korea",2075,39131
"632","South Korea",2080,37385
"633","South Korea",2085,35718
"634","South Korea",2090,34143
"635","South Korea",2095,32668
"636","South Korea",2100,31222
"637","Southeast Asia",2020,433107
"638","Southeast Asia",2025,451150
"639","Southeast Asia",2030,466494
"640","Southeast Asia",2035,478957
"641","Southeast Asia",2040,488555
"642","Southeast Asia",2045,495292
"643","Southeast Asia",2050,499174
"644","Southeast Asia",2055,500737
"645","Southeast Asia",2060,500223
"646","Southeast Asia",2065,497740
"647","Southeast Asia",2070,493605
"648","Southeast Asia",2075,487847
"649","Southeast Asia",2080,480743
"650","Southeast Asia",2085,472604
"651","Southeast Asia",2090,463739
"652","Southeast Asia",2095,454455
"653","Southeast Asia",2100,444858
"654","Taiwan",2020,23557
"655","Taiwan",2025,23557
"656","Taiwan",2030,23557
"657","Taiwan",2035,23557
"658","Taiwan",2040,23557
"659","Taiwan",2045,23557
"660","Taiwan",2050,23557
"661","Taiwan",2055,23557
"662","Taiwan",2060,23557
"663","Taiwan",2065,23557
"664","Taiwan",2070,23557
"665","Taiwan",2075,23557
"666","Taiwan",2080,23557
"667","Taiwan",2085,23557
"668","Taiwan",2090,23557
"669","Taiwan",2095,23557
"670","Taiwan",2100,23557
"671","Argentina",2020,44637
"672","Argentina",2025,46040
"673","Argentina",2030,47286
"674","Argentina",2035,48376
"675","Argentina",2040,49321
"676","Argentina",2045,50052
"677","Argentina",2050,50587
"678","Argentina",2055,50920
"679","Argentina",2060,51055
"680","Argentina",2065,51051
"681","Argentina",2070,50881
"682","Argentina",2075,50559
"683","Argentina",2080,50101
"684","Argentina",2085,49577
"685","Argentina",2090,49002
"686","Argentina",2095,48379
"687","Argentina",2100,47716
"688","Colombia",2020,50315
"689","Colombia",2025,52898
"690","Colombia",2030,55222
"691","Colombia",2035,57240
"692","Colombia",2040,58976
"693","Colombia",2045,60431
"694","Colombia",2050,61553
"695","Colombia",2055,62356
"696","Colombia",2060,62899
"697","Colombia",2065,63157
"698","Colombia",2070,63179
"699","Colombia",2075,62972
"700","Colombia",2080,62528
"701","Colombia",2085,61871
"702","Colombia",2090,61079
"703","Colombia",2095,60178
"704","Colombia",2100,59180
